round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
336,0.7604,0.1952,446958480,0.005103,0,1,3,2,4,1.2799,1.2876,4,interp1,1,1
337,0.6619,0.2498,446958480,0.005093,1,4,4,1,0,1.1935,1.2876,1,used,1,1
338,0.7650,0.1822,446958480,0.005083,2,5,1,2,0,1.2206,1.2876,1,used,1,1
339,0.7546,0.1595,446958480,0.005073,0,4,1,1,4,1.1935,1.2876,1,used,1,1
340,0.7442,0.1834,446958480,0.005063,0,5,3,0,2,1.0297,1.2876,1,used,1,1
341,0.6240,0.1515,446958480,0.005053,0,1,6,2,1,1.0889,1.2876,2,topk,1,1
342,0.6771,0.4992,446958480,0.005042,0,1,8,0,1,0.6390,1.2876,2,topk,1,1
343,0.7608,0.1951,446958480,0.005032,0,0,5,1,4,0.9433,1.2876,2,topk,1,1
344,0.6851,0.1968,446958480,0.005022,0,4,5,1,0,0.9433,1.2876,2,topk,1,1
345,0.7794,0.1272,446958480,0.005012,0,0,6,2,2,0.9503,1.2876,2,topk,1,1
346,0.7703,0.1169,446958480,0.005002,0,4,5,1,0,0.9433,1.2876,2,topk,1,1
347,0.6993,0.1649,446958480,0.004992,0,1,3,0,6,0.8979,1.2876,4,interp1,1,1
348,0.6923,0.2667,446958480,0.004982,0,0,3,6,1,0.8979,1.2876,3,interp0,1,1
349,0.7644,0.2043,446958480,0.004972,0,2,6,2,0,0.9503,1.2876,2,topk,1,1
350,0.7227,0.1512,446958480,0.004962,0,5,3,0,2,1.0297,1.2876,1,used,1,1
351,0.8044,0.2419,446958480,0.004952,0,0,6,1,3,0.8979,1.2876,2,topk,1,1
352,0.6701,0.2000,446958480,0.004943,0,5,2,0,3,1.0297,1.2876,1,used,1,1
353,0.7519,0.0916,446958480,0.004933,0,1,4,1,4,1.1935,1.2876,2,topk,1,1
354,0.7493,0.2022,446958480,0.004923,3,1,5,0,1,1.1683,1.2876,2,topk,1,1
