round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
543,0.7883,0.1087,446958480,0.003372,0,0,1,2,2,1,0,2,1,1,1.8867,1.8421,3,interp0,1,0
544,0.7732,0.1444,446958480,0.003365,0,0,0,2,2,1,1,1,3,0,1.6957,1.8421,8,seed0,1,1
545,0.8071,0.1676,446958480,0.003358,1,0,0,1,0,1,2,3,1,1,1.8344,1.8421,7,orth0,1,1
546,0.7941,0.1090,446958480,0.003352,0,0,0,1,2,0,5,1,0,1,1.3592,1.8421,6,interp3,1,1
547,0.8446,0.0731,446958480,0.003345,0,2,0,0,4,2,0,0,2,0,1.3322,1.8421,4,interp1,1,1
548,0.8514,0.1648,446958480,0.003338,0,0,0,1,0,1,6,1,1,0,1.2275,1.8421,6,interp3,1,1
549,0.8248,0.0700,446958480,0.003332,0,0,3,2,2,0,3,0,0,0,1.3662,1.8421,2,topk,1,1
550,0.8289,0.0704,446958480,0.003325,0,0,0,0,0,1,4,0,3,2,1.2799,1.8421,6,interp3,1,1
551,0.8257,0.0940,446958480,0.003318,0,0,0,3,1,1,1,1,0,3,1.6434,1.8421,3,interp0,1,1
552,0.8119,0.1691,446958480,0.003312,0,1,0,4,2,0,0,0,3,0,1.2799,1.8421,3,interp0,1,1
553,0.7809,0.1006,446958480,0.003305,0,0,0,1,2,1,0,1,2,3,1.6957,1.8421,9,seed1,1,1
554,0.8051,0.1280,446958480,0.003299,0,0,0,3,0,0,6,0,1,0,0.8979,1.8421,6,interp3,1,1
555,0.7959,0.2118,446958480,0.003292,0,0,1,1,2,0,0,2,3,1,1.6957,1.8421,8,seed0,1,1
556,0.8464,0.0996,446958480,0.003285,0,0,0,1,3,3,1,1,1,0,1.6434,1.8421,4,interp1,1,1
557,0.8102,0.0943,446958480,0.003279,0,0,0,1,1,0,0,2,2,4,1.4708,1.8421,9,seed1,1,1
558,0.8143,0.1034,446958480,0.003272,0,1,0,3,2,4,0,0,0,0,1.2799,1.8421,5,interp2,1,1
559,0.7596,0.0811,446958480,0.003266,0,3,0,0,0,0,2,4,1,0,1.2799,1.8421,7,orth0,1,1
560,0.7627,0.1172,446958480,0.003259,0,1,0,1,1,0,0,0,0,7,0.9404,1.8421,9,seed1,1,1
561,0.8172,0.1584,446958480,0.003253,0,2,3,0,0,1,0,2,0,2,1.5571,1.8421,2,topk,1,1
562,0.7665,0.1266,446958480,0.003246,0,0,0,1,0,0,8,0,1,0,0.6390,1.8421,6,interp3,1,1
563,0.7723,0.1524,446958480,0.003240,0,1,0,0,2,4,0,0,2,1,1.4708,1.8421,5,interp2,1,1
564,0.8342,0.1862,446958480,0.003233,0,0,0,4,0,0,1,2,2,1,1.4708,1.8421,3,interp0,1,1
565,0.7566,0.1100,446958480,0.003227,0,1,0,0,0,2,2,0,3,2,1.5571,1.8421,8,seed0,1,1
566,0.8360,0.1192,446958480,0.003220,0,0,0,2,1,0,0,2,4,1,1.4708,1.8421,8,seed0,1,1
567,0.8479,0.0977,446958480,0.003214,0,1,2,3,3,1,0,0,0,0,1.5048,1.8421,3,interp0,1,1
568,0.8214,0.0703,446958480,0.003207,0,0,1,1,1,1,0,0,3,3,1.6434,1.8421,8,seed0,1,1
569,0.8130,0.0802,446958480,0.003201,0,0,0,1,2,2,1,1,1,2,1.8867,1.8421,4,interp1,1,0
570,0.8336,0.1979,446958480,0.003195,0,0,0,2,1,3,0,0,2,2,1.5571,1.8421,5,interp2,1,1
571,0.7894,0.0767,446958480,0.003188,0,1,3,0,0,3,1,2,0,0,1.5048,1.8421,2,topk,1,1
572,0.7959,0.1190,446958480,0.003182,0,0,0,1,0,1,0,2,3,3,1.5048,1.8421,8,seed0,1,1
573,0.8200,0.0733,446958480,0.003175,0,0,0,0,0,4,2,2,2,0,1.3322,1.8421,5,interp2,1,1
