round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
857,0.9124,0.0063,446958480,0.001798,0,0,0,0,0,0,0,5,4,1,0.9433,1.8421,7,orth0,1,1
858,0.9108,0.0085,446958480,0.001795,0,0,0,0,5,0,0,2,2,1,1.2206,1.8421,4,interp1,1,1
859,0.9097,0.0237,446958480,0.001791,0,2,0,0,1,4,0,0,1,2,1.4708,1.8421,5,interp2,1,1
860,0.9102,0.0108,446958480,0.001788,0,2,0,0,0,0,2,0,2,4,1.3322,1.8421,9,seed1,1,1
861,0.9115,0.0103,446958480,0.001784,0,0,0,0,2,1,2,0,5,0,1.2206,1.8421,8,seed0,1,1
862,0.9140,0.0077,446958480,0.001780,0,0,1,0,0,4,2,0,0,3,1.2799,1.8421,5,interp2,1,1
863,0.9113,0.0122,446958480,0.001777,0,0,1,3,1,0,3,0,0,2,1.5048,1.8421,3,interp0,1,1
864,0.9114,0.0064,446958480,0.001773,0,3,0,4,3,0,0,0,0,0,1.0889,1.8421,3,interp0,1,1
865,0.9119,0.0138,446958480,0.001770,0,0,0,1,0,8,0,0,1,0,0.6390,1.8421,5,interp2,1,1
866,0.9120,0.0076,446958480,0.001766,0,1,0,1,0,1,1,0,3,3,1.6434,1.8421,8,seed0,1,1
867,0.9122,0.0072,446958480,0.001763,0,1,1,0,1,0,0,2,4,1,1.6094,1.8421,8,seed0,1,1
868,0.9109,0.0052,446958480,0.001759,0,0,1,2,3,2,2,0,0,0,1.5571,1.8421,4,interp1,1,1
869,0.9102,0.0074,446958480,0.001756,0,0,2,2,1,0,0,1,2,2,1.7481,1.8421,2,topk,1,1
870,0.9113,0.0055,446958480,0.001752,0,0,0,2,1,1,6,0,0,0,1.0889,1.8421,6,interp3,1,1
871,0.9102,0.0060,446958480,0.001749,0,2,0,2,2,0,1,0,3,0,1.5571,1.8421,8,seed0,1,1
872,0.9117,0.0082,446958480,0.001745,0,0,3,2,0,1,0,0,2,2,1.5571,1.8421,2,topk,1,1
873,0.9122,0.0105,446958480,0.001742,0,0,1,0,3,2,4,0,0,0,1.2799,1.8421,6,interp3,1,1
874,0.9133,0.0091,446958480,0.001738,0,4,0,0,0,0,0,2,2,2,1.3322,1.8421,1,used,1,1
875,0.9107,0.0105,446958480,0.001735,0,0,0,0,0,2,0,1,1,6,1.0889,1.8421,9,seed1,1,1
876,0.9128,0.0061,446958480,0.001731,0,1,1,3,0,1,1,2,1,0,1.8344,1.8421,3,interp0,1,1
877,0.9130,0.0067,446958480,0.001728,0,0,0,0,3,0,1,0,6,0,0.8979,1.8421,8,seed0,1,1
878,0.9138,0.0045,446958480,0.001724,0,3,0,0,1,0,0,4,2,0,1.2799,1.8421,7,orth0,1,1
879,0.9115,0.0058,446958480,0.001721,0,0,0,0,3,0,2,1,0,4,1.2799,1.8421,9,seed1,1,1
880,0.9123,0.0117,446958480,0.001717,0,1,0,5,2,0,0,0,2,0,1.2206,1.8421,3,interp0,1,1
881,0.9107,0.0102,446958480,0.001714,0,3,0,0,0,0,0,2,5,0,1.0297,1.8421,8,seed0,1,1
882,0.9104,0.0099,446958480,0.001711,0,0,0,0,0,0,0,2,0,8,0.5004,1.8421,9,seed1,1,1
883,0.9099,0.0117,446958480,0.001707,0,0,0,3,0,0,0,3,4,0,1.0889,1.8421,8,seed0,1,1
884,0.9106,0.0076,446958480,0.001704,0,0,0,6,1,0,0,0,2,1,1.0889,1.8421,3,interp0,1,1
885,0.9097,0.0101,446958480,0.001700,0,0,0,0,1,4,0,2,3,0,1.2799,1.8421,5,interp2,1,1
886,0.9111,0.0076,446958480,0.001697,0,0,0,2,2,1,0,2,1,2,1.7481,1.8421,3,interp0,1,1
887,0.9111,0.0103,446958480,0.001694,0,1,0,1,1,0,2,0,5,0,1.3592,1.8421,8,seed0,1,1
888,0.9120,0.0098,446958480,0.001690,0,0,1,0,0,0,2,5,1,1,1.3592,1.8421,7,orth0,1,1
889,0.9126,0.0117,446958480,0.001687,0,0,0,4,1,4,0,0,0,1,1.1935,1.8421,3,interp0,1,1
890,0.9109,0.0087,446958480,0.001683,0,1,3,0,1,0,2,2,1,0,1.6957,1.8421,2,topk,1,1
891,0.9116,0.0076,446958480,0.001680,0,0,2,2,0,5,0,0,0,1,1.2206,1.8421,5,interp2,1,1
892,0.9110,0.0087,446958480,0.001677,0,0,0,0,6,1,0,0,3,0,0.8979,1.8421,4,interp1,1,1
893,0.9120,0.0063,446958480,0.001673,0,4,0,0,0,0,0,0,1,5,0.9433,1.8421,9,seed1,1,1
894,0.9115,0.0061,446958480,0.001670,0,0,0,0,1,1,0,2,3,3,1.5048,1.8421,8,seed0,1,1
895,0.9120,0.0066,446958480,0.001667,0,2,0,1,1,1,0,3,2,0,1.6957,1.8421,7,orth0,1,1
896,0.9112,0.0076,446958480,0.001663,0,0,0,2,2,1,1,0,0,4,1.4708,1.8421,9,seed1,1,1
897,0.9125,0.0066,446958480,0.001660,0,0,0,1,0,3,0,1,4,1,1.4185,1.8421,8,seed0,1,1
898,0.9126,0.0065,446958480,0.001657,0,0,0,0,1,5,1,1,1,1,1.4979,1.8421,5,interp2,1,1
899,0.9117,0.0225,446958480,0.001653,0,3,1,0,3,0,1,0,2,0,1.5048,1.8421,1,used,1,1
900,0.9122,0.0063,446958480,0.001650,0,0,2,1,3,0,1,0,0,3,1.5048,1.8421,4,interp1,1,1
901,0.9113,0.0069,446958480,0.001647,0,0,0,3,0,3,1,0,1,2,1.5048,1.8421,3,interp0,1,1
902,0.9128,0.0116,446958480,0.001643,0,1,0,0,3,3,0,0,2,1,1.5048,1.8421,4,interp1,1,1
903,0.9100,0.0202,446958480,0.001640,0,0,0,0,1,3,3,2,1,0,1.5048,1.8421,5,interp2,1,1
904,0.9081,0.0206,446958480,0.001637,0,1,0,0,0,1,0,0,2,6,1.0889,1.8421,9,seed1,1,1
905,0.9081,0.0191,446958480,0.001634,0,0,1,2,3,0,0,0,0,4,1.2799,1.8421,9,seed1,1,1
906,0.9085,0.0133,446958480,0.001630,0,0,0,4,2,0,3,0,0,1,1.2799,1.8421,3,interp0,1,1
907,0.9089,0.0260,446958480,0.001627,0,1,0,1,2,0,4,2,0,0,1.4708,1.8421,6,interp3,1,1
908,0.9102,0.0116,446958480,0.001624,0,0,0,3,4,0,0,0,1,2,1.2799,1.8421,4,interp1,1,1
909,0.9108,0.0087,446958480,0.001621,0,0,0,4,3,1,0,1,0,1,1.4185,1.8421,3,interp0,1,1
910,0.9117,0.0092,446958480,0.001617,0,0,0,1,2,2,0,0,1,4,1.4708,1.8421,9,seed1,1,1
911,0.9120,0.0078,446958480,0.001614,0,0,0,1,0,2,0,0,2,5,1.2206,1.8421,9,seed1,1,1
912,0.9101,0.0080,446958480,0.001611,0,0,1,3,0,0,1,2,2,1,1.6957,1.8421,3,interp0,1,1
913,0.9119,0.0075,446958480,0.001608,0,0,0,0,6,0,4,0,0,0,0.6730,1.8421,4,interp1,1,1
914,0.9110,0.0087,446958480,0.001604,0,0,0,0,0,0,0,2,0,8,0.5004,1.8421,9,seed1,1,1
915,0.9110,0.0179,446958480,0.001601,0,0,0,0,3,0,0,3,3,1,1.3138,1.8421,4,interp1,1,1
916,0.9107,0.0114,446958480,0.001598,0,0,0,4,1,4,0,0,0,1,1.1935,1.8421,3,interp0,1,1
917,0.9100,0.0085,446958480,0.001595,0,1,0,0,1,1,3,0,2,2,1.6957,1.8421,6,interp3,1,1
